USC_PLC_CPIdentifier,15001,Object
USC_PLC_CPIdentifier_ParameterSet,15002,Object
USC_PLC_CPIdentifier_ParameterSet_ParameterIdentifier,15003,Variable
USC_PLC_CPIdentifier_MethodSet,15004,Object
USC_PLC_CPIdentifier_MethodSet_MethodIdentifier,15005,Method
USC_PLC_CPIdentifier_Identification,15006,Object
HasInputVars,15007,ReferenceType
HasOutputVars,15008,ReferenceType
HasInOutVars,15009,ReferenceType
HasLocalVars,15010,ReferenceType
HasExternalVars,15011,ReferenceType
With,15012,ReferenceType
CtrlConfigurationType,15013,ObjectType
CtrlConfigurationType_ParameterSet,15014,Object
CtrlConfigurationType_ParameterSet_ParameterIdentifier,15015,Variable
CtrlConfigurationType_MethodSet,15016,Object
CtrlConfigurationType_MethodSet_MethodIdentifier,15017,Method
CtrlConfigurationType_GroupIdentifier,15018,Object
CtrlConfigurationType_GroupIdentifier_UIElement,15019,Variable
CtrlConfigurationType_Identification,15020,Object
CtrlConfigurationType_Identification_UIElement,15021,Variable
CtrlConfigurationType_Lock,15022,Object
CtrlConfigurationType_Lock_Locked,15023,Variable
CtrlConfigurationType_Lock_LockingClient,15024,Variable
CtrlConfigurationType_Lock_LockingUser,15025,Variable
CtrlConfigurationType_Lock_RemainingLockTime,15026,Variable
CtrlConfigurationType_Lock_InitLock,15027,Method
CtrlConfigurationType_Lock_InitLock_InputArguments,15028,Variable
CtrlConfigurationType_Lock_InitLock_OutputArguments,15029,Variable
CtrlConfigurationType_Lock_RenewLock,15030,Method
CtrlConfigurationType_Lock_RenewLock_OutputArguments,15031,Variable
CtrlConfigurationType_Lock_ExitLock,15032,Method
CtrlConfigurationType_Lock_ExitLock_OutputArguments,15033,Variable
CtrlConfigurationType_Lock_BreakLock,15034,Method
CtrlConfigurationType_Lock_BreakLock_OutputArguments,15035,Variable
CtrlConfigurationType_Manufacturer,15036,Variable
CtrlConfigurationType_ManufacturerUri,15037,Variable
CtrlConfigurationType_Model,15038,Variable
CtrlConfigurationType_HardwareRevision,15039,Variable
USC_PLC_CPIdentifier_Identification_UIElement,15040,Variable
USC_PLC_CPIdentifier_Lock,15041,Object
USC_PLC_CPIdentifier_Lock_Locked,15042,Variable
USC_PLC_CPIdentifier_Lock_LockingClient,15043,Variable
USC_PLC_CPIdentifier_Lock_LockingUser,15044,Variable
USC_PLC_CPIdentifier_Lock_RemainingLockTime,15045,Variable
USC_PLC_CPIdentifier_Lock_InitLock,15046,Method
USC_PLC_CPIdentifier_Lock_InitLock_InputArguments,15047,Variable
USC_PLC_CPIdentifier_Lock_InitLock_OutputArguments,15048,Variable
USC_PLC_CPIdentifier_Lock_RenewLock,15049,Method
USC_PLC_CPIdentifier_Lock_RenewLock_OutputArguments,15050,Variable
USC_PLC_CPIdentifier_Lock_ExitLock,15051,Method
